time,X,Y,Z
0,0.0,0,0
1,0.975513105827,0,0
2,1.34636268116,0,0
3,1.60991235575,0,0
4,1.81570910105,0,0
5,1.98360616123,0,1
6,2.12411949736,0,1
7,2.24369047823,0,1
8,2.34663809711,0,1
9,2.43604256995,0,1
10,2.5142007852,0,0
11,2.58288388493,0,0
12,2.64349349931,0,0
13,2.69716185455,0,0
14,2.74481882109,0,0
15,2.78723848971,0,0
16,2.82507253359,0,0
17,2.85887473658,0,0
18,2.8891194364,0,0
19,2.91621566551,0,0
20,2.94051818012,0,0
21,2.96233619251,0,0
22,2.98194037774,0,0
23,2.99956856277,0,0
24,3.015430395,0,0
25,3.02971120963,0,0
26,3.04257526084,0,0
27,3.05416844208,0,0
28,3.06462059214,0,0
29,3.07404746213,0,0
30,3.08255240285,0,0
31,3.09022781944,0,0
32,3.09715643134,0,0
33,3.10341236802,0,0
34,3.10906212553,0,0
35,3.11416540437,0,0
36,3.11877584567,0,0
37,3.12294167978,0,0
38,3.1267062992,0,0
39,3.13010876577,0,0
40,3.13318426064,0,0
41,3.13596448417,0,0
42,3.138478012,0,0
43,3.14075061249,0,0
44,3.14280553025,0,0
45,3.14466373951,0,0
46,3.14634417103,0,0
47,3.14786391526,0,0
48,3.14923840468,0,0
49,3.15048157736,0,0
50,3.15160602392,0,0
